pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad,radius_frac_error
GJ 1214 b,GJ 1214,2009,Transit,1.580404531,2.733,0.033,-0.031,3101.0,0.2162,0.012074643249176729
TOI-1468 b,TOI-1468,2022,Transit,1.8805201,1.401,0.059,-0.06,3376.0,0.3714,0.042826552462526764
Kepler-535 b,Kepler-535,2016,Transit,4.903321551,2.36,0.33,-0.21,6123.0,1.27,0.1398305084745763
TOI-3082 b,TOI-3082,2023,Transit,1.926907,3.6621,0.1464,-0.1448,4263.0,0.6847,0.039977062341279596
Kepler-1037 b,Kepler-1037,2016,Transit,1.063788673,1.28,0.09,-0.07,5105.0,0.78,0.0703125
Kepler-107 b,Kepler-107,2014,Transit,3.1800218,1.536,0.025,-0.025,5854.0,1.447,0.016276041666666668
Kepler-1530 b,Kepler-1530,2016,Transit,2.5904434,1.64,0.21,-0.11,5477.0,0.88,0.12804878048780488
K2-412 b,K2-412,2022,Transit,5.9382,2.116,0.105,-0.1052,5590.0,0.977,0.049716446124763704
Kepler-1996 c,Kepler-1996,2023,Transit,92.7297248,2.81,0.2,-0.08,4580.0,0.675,0.0711743772241993
Kepler-1441 b,Kepler-1441,2016,Transit,39.4419839,1.31,0.22,-0.13,5802.0,1.0,0.16793893129770993
Kepler-498 b,Kepler-498,2016,Transit,9.61375356,3.03,0.5,-0.34,5744.0,0.96,0.16501650165016502
EPIC 201615463 c,K2-166,2019,Transit,3.80464,1.22,0.21,-0.17,5960.0,1.61,0.1721311475409836
K2-247 b,K2-247,2018,Transit,2.25021,2.12,0.19,-0.16,4667.0,0.69,0.08962264150943396
Kepler-1324 b,Kepler-1324,2016,Transit,4.115844679,1.51,0.08,-0.09,4776.0,0.73,0.059602649006622516
TIC 198190129 b,TIC 198190129,2026,Transit,7.94804910667,2.92284949,0.21251203,-0.20166389,4377.53,0.640675,0.07270714100300799
K2-325 b,K2-325,2020,Transit,6.93,2.2,0.14,-0.15,3287.0,0.298,0.06818181818181818
K2-368 d,K2-368,2022,Transit,20.201085,1.948,0.152,-0.143,4663.0,0.663,0.07802874743326489
Kepler-23 b,Kepler-23,2011,Transit,7.1,1.638,0.047,-0.047,5828.0,1.548,0.028693528693528696
L 98-59 c,L 98-59,2019,Transit,3.6906764,1.329,0.029,-0.029,3415.0,0.3155,0.0218209179834462
Kepler-367 b,Kepler-367,2014,Transit,37.815724,1.3,0.16,-0.16,4710.0,0.695,0.12307692307692307
LHS 1815 b,LHS 1815,2020,Transit,3.814334,1.088,0.064,-0.064,3643.0,0.501,0.058823529411764705
Kepler-603 d,Kepler-603,2016,Transit,6.2171292,1.32,0.25,-0.13,5808.0,1.01,0.1893939393939394
GJ 1132 b,GJ 1132,2015,Transit,1.62892911,1.19151465,0.03811053,-0.04483592,3229.0,0.2211,0.037629348493533
TOI-7384 b,TOI-7384,2026,Transit,6.2340258,3.56,0.21,-0.21,3185.0,0.319,0.05898876404494382
TOI-1448 b,TOI-1448,2024,Transit,8.112245,2.749,0.067,-0.063,3412.0,0.38,0.024372499090578394
Kepler-862 b,Kepler-862,2016,Transit,3.148664534,2.21,0.44,-0.17,5333.0,0.84,0.1990950226244344
Kepler-138 c,Kepler-138,2014,Transit,13.7815,1.51,0.04,-0.04,3841.0,0.535,0.026490066225165563
Kepler-1001 b,Kepler-1001,2016,Transit,14.30511983,3.15,0.34,-0.48,5491.0,0.88,0.15238095238095237
TIC 294329732 b,TIC 294329732,2026,Transit,9.7565876181,2.07692266,0.22293792,-0.18647061,5201.93,0.920172,0.1073405015476118
Kepler-1059 b,Kepler-1059,2016,Transit,3.764191048,1.73,0.12,-0.15,4906.0,0.72,0.08670520231213873
Kepler-518 b,Kepler-518,2016,Transit,8.512035877,2.11,0.05,-0.05,5842.0,0.88,0.023696682464454978
Kepler-28 b,Kepler-28,2011,Transit,5.91,1.959,0.043,-0.042,4499.3,0.664,0.02194997447677386
HD 63433 c,HD 63433,2020,Transit,20.5438281,2.692,0.108,-0.088,5553.0,0.934,0.040118870728083206
TOI-128.01,TOI-128,2024,Transit,4.9404681,2.21898,0.10878,-0.10878,6086.0,1.13,0.049022523862315114
Kepler-49 d,Kepler-49,2014,Transit,2.576549,1.6,0.07,-0.07,4252.0,0.559,0.043750000000000004
Kepler-107 c,Kepler-107,2014,Transit,4.901452,1.597,0.026,-0.026,5854.0,1.447,0.01628052598622417
TOI-2095 b,TOI-2095,2023,Transit,17.66484,1.25,0.07,-0.07,3759.0,0.44,0.05600000000000001
TOI-2000 b,TOI-2000,2023,Transit,3.09833,2.7,0.15,-0.15,5611.0,1.134,0.05555555555555555
Kepler-877 b,Kepler-877,2016,Transit,18.45847097,2.12,0.14,-0.27,5261.0,0.81,0.12735849056603774
HD 135694 b,HD 135694,2023,Transit,15.923475568,2.857,0.227,-0.206,5712.0,1.08,0.07945397269863493
