pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad
K2-343 c,K2-343,2021,Transit,7.676972,2.02,0.1,-0.07,3804.0,0.46
TOI-5592 b,TOI-5592,2025,Transit,2.6085846,17.14974047,3.58687382,-1.79343691,6237.0,1.393
Kepler-188 c,Kepler-188,2014,Transit,5.996553,3.19,1.45,-1.45,6021.0,1.141
KOI-1831 d,Kepler-324,2018,Transit,34.169,1.13,0.05,-0.05,5233.0,0.835
Kepler-279 c,Kepler-279,2013,Transit,35.736,4.3,1.72,-0.41,6689.45,1.07
TOI-1444 b,TOI-1444,2021,Transit,0.4702743,1.41792246,0.0467336,-0.04107268,5460.0,0.9105
Kepler-329 c,Kepler-329,2014,Transit,18.684737,1.93,0.29,-0.29,4257.0,0.523
Kepler-487 d,Kepler-487,2021,Transit,2.418390036,2.77513568,,,5422.0,0.887
Kepler-797 b,Kepler-797,2016,Transit,27.07237711,2.17,0.43,-0.22,5680.0,0.95
K2-401 b,K2-401,2022,Transit,6.293099,2.262,0.209,-0.192,4213.0,0.675
Kepler-199 c,Kepler-199,2014,Transit,67.093408,3.25,0.58,-0.58,5644.0,0.967
HATS-8 b,HATS-8,2015,Transit,3.583893,9.785457,1.378707,-0.840675,5679.0,1.086
KOI-1783.01,KOI-1783,2020,Transit,134.4628,8.86,0.25,-0.24,5922.0,1.143
KELT-16 b,KELT-16,2017,Transit,0.9689951,15.860735,0.941556,-0.751003,6236.0,1.36
Kepler-1681 b,Kepler-1681,2020,Transit,69.8956,2.55321772,,,5756.4,0.759
Kepler-780 b,Kepler-780,2016,Transit,0.677375164,0.89,0.09,-0.06,5769.0,1.02
Kepler-1572 b,Kepler-1572,2016,Transit,5.49548621,0.94,0.19,-0.08,5618.0,0.95
Kepler-1389 b,Kepler-1389,2016,Transit,99.2530951,1.77,0.05,-0.14,5078.0,0.74
Kepler-251 d,Kepler-251,2014,Transit,30.133001,2.77,0.49,-0.49,5526.0,0.89
Kepler-127 d,Kepler-127,2014,Transit,48.630408,2.64,0.14,-0.14,6106.0,1.359
CoRoT-12 b,CoRoT-12,2010,Transit,2.828042,16.14,1.46,-1.46,5675.0,1.116
SWEEPS-4 b,SWEEPS-4,2006,Transit,4.2,9.079,1.121,-1.121,,1.18
Kepler-1256 b,Kepler-1256,2016,Transit,12.4127754,1.49,0.44,-0.22,6129.0,1.36
GJ 143 b,GJ 143,2019,Transit,35.61253,2.61,0.17,-0.16,4640.0,0.695
K2-10 b,K2-10,2015,Transit,19.30553,3.773,0.088,-0.048,5533.0,0.956
Kepler-182 b,Kepler-182,2014,Transit,9.825792,2.58,1.18,-1.18,6250.0,1.146
TOI-1659.01,TOI-1659,2024,Transit,5.877556328,2.255,0.254,-0.157,5977.0,1.006
TOI-237 c,TOI-237,2026,Transit,1.74486147,1.206,0.035,-0.035,3226.0,0.2056
Kepler-564 b,Kepler-564,2016,Transit,3.750832285,4.63,0.66,-0.36,5626.0,0.92
Kepler-878 b,Kepler-878,2016,Transit,25.9422033,1.93,0.12,-0.1,5044.0,0.77
Kepler-228 b,Kepler-228,2014,Transit,2.566546,1.53,0.71,-0.71,6043.0,1.014
CoRoT-7 b,CoRoT-7,2009,Transit,0.85359163,1.68135,0.11209,-0.11209,5275.0,0.83
TOI-2969 b,TOI-2969,2025,Transit,1.8237146,12.32987877,0.89671846,-0.89671846,4738.0,0.7
Kepler-610 c,Kepler-610,2016,Transit,151.86392,3.3,0.84,-0.37,5943.0,1.13
Kepler-1473 b,Kepler-1473,2016,Transit,14.4273551,1.19,0.09,-0.08,6046.0,1.09
Kepler-447 b,Kepler-447,2015,Transit,7.79430132,18.49,6.61,-6.28,5493.0,1.05
Kepler-290 d,Kepler-290,2023,Transit,0.764017553,0.86,0.12,-0.07,5142.0,0.755
Kepler-384 c,Kepler-384,2014,Transit,45.348269,1.13,0.33,-0.33,5577.0,0.882
Kepler-468 b,Kepler-468,2016,Transit,38.478757067,13.34,0.32,-0.29,5498.0,0.87
