pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
AU Mic b,AU Mic,2020,Transit,8.463446,0.07,0.09,-0.04,0.42733591,0.0282857,0.635,3540.0
K2-4 b,K2-4,2015,Transit,10.003417,0.08,0.161192,-0.068641,0.18734945,0.0159,0.635026,4014.73
TOI-2337 b,TOI-2337,2022,Transit,2.99432,0.019,0.017,-0.017,0.9,1.6,1.325,4780.0
Kepler-451 c,2MASS J19383260+4603591,2022,Eclipse Timing Variations,1460.0,0.29,0.07,-0.07,1.21,1.61,0.48,29564.0
Kepler-446 d,Kepler-446,2015,Transit,5.148921,0.0,,,0.12,0.00752,0.22,3359.0
TOI-2015 b,TOI-2015,2023,Transit,3.348237,0.0789,0.0018,-0.0016,0.29520972,0.02894644,0.3041,3297.0
HAT-P-53 b,HAT-P-53,2015,Transit,1.9616241,0.134,,,1.318,1.484,1.093,5956.0
TOI-411 c,HD 22946,2022,Transit,9.573083,0.16,0.17,-0.1,0.20769061,0.03058254,1.098,6169.0
TOI-2529 b,TOI-2529,2024,Transit,64.5949,0.021,0.024,-0.015,1.03,2.34,1.11,5802.0
HD 139357 b,HD 139357,2008,Radial Velocity,1124.79139,0.099,0.023,-0.023,1.08,19.871,2.69,4700.0
TOI-3862 b,TOI-3862,2026,Transit,1.55745774,0.0232,0.0071,-0.0054,0.493,0.1688,0.9,5300.0
K2-34 b,K2-34,2016,Transit,2.9956348,0.0,,,1.22669495,1.698,1.16,6168.0
KOI-1599.01,KOI-1599,2019,Transit,20.4415,0.014,,,0.16950665,0.01447315,1.02,5833.0
Kepler-1687 b,Kepler-1687,2020,Transit,5.77954,0.0,,,0.14775973,0.0106,0.65,4132.0
Kepler-1346 b,Kepler-1346,2016,Transit,3.40165668,0.0,,,0.14095816,0.00982,1.14,6133.0
Kepler-187 c,Kepler-187,2014,Transit,10.640263,0.0,,,0.238,0.0239,1.081,6105.0
Kepler-364 c,Kepler-364,2014,Transit,59.980627,0.0,,,0.192,0.0166,1.076,6108.0
GJ 3021 b,GJ 3021,2000,Radial Velocity,133.71,0.511,0.017,-0.017,1.17,3.37,0.9,5540.0
Kepler-361 b,Kepler-361,2014,Transit,8.486616,0.0,,,0.129,0.00849,1.191,6169.0
Kepler-286 b,Kepler-286,2014,Transit,1.796302,0.0,,,0.111,0.00651,0.83,5580.0
Kepler-47 c,Kepler-47,2012,Transit,303.227,0.044,0.029,-0.019,0.41484521,0.00997389,0.957,5636.0
HD 190984 b,HD 190984,2009,Radial Velocity,4885.0,0.57,0.1,-0.1,1.16,3.58,0.91,5988.0
Kepler-1042 b,Kepler-1042,2016,Transit,10.13202575,0.0,,,0.19537871,0.0171,0.75,4815.0
Kepler-516 b,Kepler-516,2016,Transit,24.85462415,0.0,,,0.5120885,0.0878,1.62,7099.0
TOI-1260 d,TOI-1260,2022,Transit,16.608164,0.0,,,0.27834824,0.03725281,0.679,4227.0
HD 16141 b,HD 16141,2000,Radial Velocity,75.523,0.25,0.05,-0.05,0.971,0.26,1.11,5757.0
Kepler-1343 b,Kepler-1343,2016,Transit,3.35183158,0.0,,,0.17218307,0.0138,0.95,5759.0
Kepler-119 b,Kepler-119,2014,Transit,2.422082,0.0,,,0.321,0.0398,0.918,5595.0
Kepler-1591 b,Kepler-1591,2016,Transit,8.18504949,0.0,,,0.11330181,0.00678,1.1,6082.0
HD 103720 b,HD 103720,2014,Radial Velocity,4.5557,0.086,0.024,-0.024,1.26,0.62,0.794,5017.0
TOI-564 b,TOI-564,2020,Transit,1.651144,0.072,0.083,-0.05,1.02,1.463,0.998,5640.0
Kepler-1057 b,Kepler-1057,2016,Transit,14.08827448,0.0,,,0.29975912,0.0354,1.07,5987.0
Kepler-1378 b,Kepler-1378,2016,Transit,11.95398936,0.0,,,0.19627085,0.0172,0.7,4407.0
TOI-481 b,TOI-481,2020,Transit,10.33111,0.153,0.006,-0.007,0.99,1.53,1.14,5735.0
Kepler-847 b,Kepler-847,2016,Transit,2.343231895,0.0,,,0.10527255,0.00553,0.83,4940.0
Kepler-742 b,Kepler-742,2016,Transit,8.360868238,0.0,,,0.28905344,0.0332,0.76,4642.0
HD 23472 e,HD 23472,2022,Transit,7.90754,0.07,0.052,-0.047,0.0729772,0.00226537,0.67,4684.0
