u_g_approx,g_r_approx,pixel_x,pixel_y,class
0.2223387096774192,0.41650943396226414,408,237,QSO
0.24681451612903205,0.41650943396226414,411,237,QSO
0.29576612903225774,0.41650943396226414,417,237,QSO
0.3202419354838706,0.41650943396226414,420,237,QSO
0.43446236559139795,0.41650943396226414,434,237,QSO
0.4589381720430108,0.41650943396226414,437,237,QSO
0.4997311827956987,0.41650943396226414,442,237,QSO
1.4950806451612904,0.41650943396226414,564,237,QSO
0.09995967741935496,0.4071069182389937,393,238,QSO
0.12443548387096781,0.4071069182389937,396,238,QSO
0.19786290322580635,0.4071069182389937,405,238,QSO
0.2223387096774192,0.4071069182389937,408,238,QSO
0.2876075268817204,0.4071069182389937,416,238,QSO
0.31208333333333327,0.4071069182389937,419,238,QSO
0.3365591397849461,0.4071069182389937,422,238,QSO
0.36103494623655896,0.4071069182389937,425,238,QSO
0.4426209677419357,0.4071069182389937,435,238,QSO
0.48341397849462364,0.4071069182389937,440,238,QSO
0.5078897849462365,0.4071069182389937,443,238,QSO
0.8505510752688168,0.4071069182389937,485,238,QSO
0.010215053763440896,0.39770440251572325,382,239,QSO
0.10811827956989228,0.39770440251572325,394,239,QSO
0.13259408602150513,0.39770440251572325,397,239,QSO
0.21418010752688144,0.39770440251572325,407,239,QSO
0.23865591397849473,0.39770440251572325,410,239,QSO
0.3039247311827955,0.39770440251572325,418,239,QSO
0.32840053763440835,0.39770440251572325,421,239,QSO
0.3528763440860212,0.39770440251572325,424,239,QSO
0.3773521505376345,0.39770440251572325,427,239,QSO
0.41814516129032286,0.39770440251572325,432,239,QSO
0.4915725806451614,0.39770440251572325,441,239,QSO
0.5160483870967743,0.39770440251572325,444,239,QSO
-0.014260752688172396,0.3883018867924528,379,240,QSO
0.010215053763440896,0.3883018867924528,382,240,QSO
0.03469086021505374,0.3883018867924528,385,240,QSO
0.09995967741935496,0.3883018867924528,393,240,QSO
0.12443548387096781,0.3883018867924528,396,240,QSO
0.14891129032258066,0.3883018867924528,399,240,QSO
0.20602150537634412,0.3883018867924528,406,240,QSO
0.23049731182795696,0.3883018867924528,409,240,QSO
0.29576612903225774,0.3883018867924528,417,240,QSO
0.3202419354838706,0.3883018867924528,420,240,QSO
0.3447177419354839,0.3883018867924528,423,240,QSO
0.3691935483870967,0.3883018867924528,426,240,QSO
0.40182795698924734,0.3883018867924528,430,240,QSO
0.4263037634408602,0.3883018867924528,433,240,QSO
0.4915725806451614,0.3883018867924528,441,240,QSO
0.5160483870967743,0.3883018867924528,444,240,QSO
