wavelength_A,flux,error
6644.335374751294,2.8626992269742413e-12,3.5175798109395766e-15
6649.216595391076,2.8348792497495667e-12,3.4404644491138874e-15
6654.097844233594,2.84898168424752e-12,3.5197812495694905e-15
6658.9791211651,2.8445373227020676e-12,3.512618950725745e-15
6663.860426071839,2.8419842434262987e-12,3.5237070355217774e-15
6668.741758840055,2.7887952364080704e-12,3.297378137949534e-15
6673.623119355981,2.733462761694838e-12,3.376848463126827e-15
6693.148836621211,2.7478980462597447e-12,3.6006828486694065e-15
6727.3198838363005,2.7458701545163278e-12,3.366334454910796e-15
6737.083279329102,2.726286644355591e-12,3.556391919373953e-15
6741.965016363897,2.742964709534501e-12,3.370340708993072e-15
6746.846779439141,2.7333419815728233e-12,3.231256840262732e-15
6756.610383255507,2.7196049232069974e-12,3.3461106962621523e-15
6761.492223768875,2.689004184250332e-12,3.530045806582555e-15
6766.374089867192,2.682771539641582e-12,3.3059067009372006e-15
6771.255981436561,2.6761156225046934e-12,3.310255368088404e-15
6776.13789836309,2.652771231848039e-12,3.319625670067405e-15
6781.019840532875,2.649655885325619e-12,3.5021909163538605e-15
6785.901807832006,2.6625479165182098e-12,3.328053859650822e-15
6795.665817362643,2.6594763717635583e-12,3.2880209649812156e-15
6805.4299260436155,2.6168910788326727e-12,3.5237589162897967e-15
6815.194132963443,2.6069812541357207e-12,3.240290234886962e-15
6820.0762729780645,2.6026388075944817e-12,3.455038498004345e-15
6829.84062554695,2.6061379616859615e-12,3.2326601620980954e-15
6834.722837873285,2.589635970939863e-12,3.2241303285610078e-15
6839.60507407559,2.5743888357881994e-12,3.214423966260184e-15
6844.487334039885,2.551883617613049e-12,3.422280345802232e-15
6849.36961765219,2.5527091291471793e-12,3.4238920377426202e-15
6859.13425536486,2.5594088480518362e-12,3.0895672864284006e-15
6864.016609237235,2.5427004252120966e-12,3.409643884778619e-15
6868.898986301628,2.5273698064931516e-12,3.1718821600008103e-15
6878.663809550432,2.505733467939031e-12,3.37085655205795e-15
6883.546255506805,2.4988364242389816e-12,3.3797988906403504e-15
6888.428724199125,2.4931634447916684e-12,3.1593964708418083e-15
6898.1937293354695,2.4780631106141593e-12,3.145261820292739e-15
6907.958824047149,2.4813653735911156e-12,3.1546105229315847e-15
6922.606632072524,2.4816531208476933e-12,3.144561112287123e-15
6927.489278546827,2.4577952520421498e-12,3.1221342209426708e-15
6932.371946730604,2.4474784178496467e-12,3.115264148465728e-15
6937.254636509772,2.4332176898345104e-12,3.364701163630253e-15
6951.902834278777,2.4258579086472443e-12,3.1552513033561826e-15
6961.668405343412,2.4110878224514742e-12,3.1365674506056472e-15
6976.316918486197,2.396310146840497e-12,3.0742194729406263e-15
6986.082696947229,2.3698792494392107e-12,3.2541940689579047e-15
6990.965616745113,2.365672545009967e-12,2.9325680355889215e-15
6995.848556769063,2.366231776490535e-12,3.04451190989805e-15
7000.731516904934,2.3676061111643776e-12,3.0541297572558856e-15
7005.614497038581,2.3804467511739924e-12,3.1031403541334403e-15
7010.497497055852,2.353854307649006e-12,3.07122203509853e-15
7025.146615267823,2.328421960448579e-12,3.0194579458676886e-15
7030.029693677981,2.3136399480289116e-12,2.9984966332802232e-15
7034.912791400937,2.3220147592900586e-12,3.0158663144130935e-15
7039.7959083225105,2.3289128871922804e-12,3.015886219687354e-15
7049.562199304774,2.3095295207525846e-12,3.0549501086653014e-15
7059.328565711248,2.2302121087391935e-12,2.926625887705696e-15
7069.095006628342,2.1614422491406104e-12,2.8800763450563885e-15
7073.978254742855,2.1942218007831027e-12,2.9061357371951407e-15
7088.628108339672,2.250955932064924e-12,3.15127406015235e-15
7093.5114289089615,2.239897503586441e-12,2.9308117127727898e-15
7108.161497128645,2.2189997235522174e-12,2.8067942308334986e-15
7113.044888325013,2.224224493821425e-12,2.9247215458820313e-15
7117.928296892541,2.226100163579825e-12,3.1313874206167136e-15
7122.811722716978,2.2259939117669214e-12,2.9345956207064115e-15
7132.578625679549,2.20280781462745e-12,2.9115918999248792e-15
7137.46210258916,2.189048421696871e-12,2.901543971588075e-15
7147.229106693695,2.1787350569513197e-12,2.936811247138192e-15
7152.112633660072,2.1731008919417816e-12,2.891393552264653e-15
7156.9961770834825,2.1765818314367635e-12,2.8953009152503373e-15
7161.879736849643,2.1901955075953605e-12,2.9150300066577844e-15
7176.530513061743,2.133526428443888e-12,2.913986673825004e-15
7200.948789602715,2.1242057592074648e-12,2.770800836289348e-15
7205.83249131026,2.116227549101013e-12,2.8751216258314245e-15
7225.367448994293,2.101109434007875e-12,2.76167490331563e-15
7230.251225557119,2.081924910246613e-12,2.7533005003243637e-15
7235.1350167479995,2.0827365439929357e-12,2.920543132353226e-15
7240.018822452595,2.089921118109128e-12,2.880932060091352e-15
7249.786476945546,2.0911261004036286e-12,2.882001015670787e-15
7254.6703255052025,2.0825489770170957e-12,2.874568936833341e-15
7259.554188121175,2.0621909128243354e-12,2.8524448597675323e-15
7264.438064679103,2.052950040867807e-12,3.0613871355479605e-15
7269.321955064627,2.0306315223067584e-12,2.846077501344785e-15
7274.205859163383,2.012668677553453e-12,2.8343113666744755e-15
7279.089776861001,1.976420980001614e-12,2.8045735222040347e-15
7283.9737080431105,1.9856141470625532e-12,2.713864552124335e-15
7288.857652595338,1.9816273188338895e-12,2.816479629068878e-15
7293.741610403306,2.0038512949654974e-12,2.8447154723656e-15
7298.625581352634,2.0237162640102113e-12,2.8595277492724728e-15
7308.393562217832,2.010583539935329e-12,2.8539392376447257e-15
7313.277571904926,2.0051271840820784e-12,2.845778498714404e-15
