transit_number,depth_ppm,quarter,parity
622,131.27779473309786,16,even
623,154.88583681588784,16,odd
624,240.442113355277,16,even
625,139.63516363579842,16,odd
626,1080.6627015322867,16,even
627,415.2148279976675,16,odd
628,129.60022068320143,16,even
629,116.7591538658863,16,odd
630,100.62394164123134,16,even
631,30.806359823554175,16,odd
632,-54.93292479430423,16,even
633,72.37969491191708,16,odd
634,3.080635982422031,16,even
635,132.10133108509936,16,odd
636,123.28644198678074,16,even
638,157.99697414464742,16,even
639,27.451211723872326,16,odd
640,247.67093244248971,16,even
641,9.546921410530373,16,odd
642,111.57392498450935,16,even
643,1.3420592397395126,16,odd
644,-7.167816394648696,16,even
645,239.9235904672059,16,odd
646,168.61144267754645,16,even
647,39.89576103879955,16,odd
648,-4.453196568610096,16,even
649,-2.684118479812092,16,odd
650,82.44513921085161,16,even
651,-45.752019539713196,16,odd
654,115.96885865450268,17,even
655,45.14245023956587,17,odd
656,-39.292389120593185,17,even
657,34.97523171713812,17,odd
658,2.533983693320252,17,even
659,32.9730717617549,17,odd
660,78.14680575102261,17,even
661,-4.066887409059916,17,odd
662,2421.5498982997906,17,even
665,-42.35819655185047,17,odd
666,308.9270243352704,17,even
