wavelength_A,flux,error
3585.3037605339646,2.779670965312995e-15,9.319004869621589e-17
3588.052863514419,2.7061679872491086e-15,9.21590309283951e-17
3593.551099086327,2.972568954764769e-15,1.0003713216957463e-16
3596.300231549096,2.8738819931131178e-15,9.663034580338314e-17
3610.0460380571967,2.97185448247376e-15,9.407222689333634e-17
3615.5444267498347,2.391155587132287e-15,8.692126373270522e-17
3621.0428524355416,2.540767228364051e-15,8.88646153940577e-17
3623.7920789898862,2.490863011727143e-15,8.779336356124233e-17
3637.5383463017492,2.3973219869882984e-15,8.53532469286599e-17
3643.036914810236,2.4183572032004117e-15,8.566622560267036e-17
3651.2848319460422,2.5142392152472303e-15,8.676393398019763e-17
3654.0341545665888,2.5262681418894255e-15,8.639391954859041e-17
3656.783485534125,2.5594091529836972e-15,8.645004209879091e-17
3659.5328247842594,2.587225291455055e-15,8.663721652779941e-17
3665.0315278747444,2.742696706615924e-15,8.80050357712722e-17
3667.7808915863,2.4728667379715413e-15,8.432353279748449e-17
3670.530263322867,2.4542423892855506e-15,8.407870718850349e-17
3673.2796430200424,2.49174307895934e-15,8.743127021118091e-17
3676.0290306134225,2.59237398122494e-15,9.320813417312875e-17
3678.7784260386015,2.62956762145535e-15,9.011345959566576e-17
3681.527829231174,2.3400386310731477e-15,8.203962756922148e-17
3684.277240126729,2.5987722563502623e-15,8.503370374930822e-17
3687.026658660857,2.5647784948363422e-15,8.43284098543761e-17
3689.7760847691443,2.5300770372949912e-15,8.396042036090841e-17
3695.2749594505385,2.4180745059542656e-15,8.15672743522292e-17
3700.773863655577,2.4693259284937815e-15,8.212848661934437e-17
3706.2727968688937,2.2613050128017292e-15,7.871214466271666e-17
3709.022274192598,2.2588918159350017e-15,7.903527449720438e-17
3722.769765404471,2.3705352053060916e-15,7.882069061141832e-17
3725.5192841144967,2.5346463565289546e-15,8.035932596010576e-17
3728.268809496725,2.5686562116688724e-15,8.117077028868558e-17
3731.0183414867192,2.8156671127142242e-15,8.313912265687186e-17
3733.7678800200397,2.7302379107529973e-15,8.225348353606849e-17
3736.5174250322457,2.9697676050499623e-15,8.438287142590659e-17
3744.7660982977436,3.1352655609657174e-15,8.529899049792132e-17
3747.515668581052,2.7328978059656126e-15,8.067745300624875e-17
3750.26524502102,2.6480092227829707e-15,7.943326086840569e-17
3755.764416113131,2.6369641249090114e-15,7.866852246593307e-17
3758.5140106363724,2.490612078216519e-15,7.677331933367607e-17
3761.2636110584644,2.4977644244231342e-15,7.66644954522886e-17
3775.0116993957195,3.5436826135168756e-15,8.621888151352929e-17
3777.7613338573133,3.4615479462039942e-15,8.51286243789599e-17
3783.260619058947,2.8524137313067207e-15,8.55169691329413e-17
3786.010269670055,2.6673016687061082e-15,8.292951508965092e-17
3788.759925535403,2.6036793299719432e-15,7.767300729000305e-17
3794.2592527709407,2.3356677293070787e-15,7.143646913549214e-17
3797.00892401219,2.3926713525913986e-15,7.174129511738529e-17
3799.758600249799,2.2711322890557736e-15,7.0161380147409e-17
3802.508281419293,2.0803275297749018e-15,7.028394846185466e-17
3805.2579674561985,2.0851551940577777e-15,6.996270459916357e-17
3810.7573538743404,2.1079469448442596e-15,6.700949775878185e-17
3816.2567589884084,2.334541599003704e-15,6.951946152228825e-17
3819.006468395217,2.11092151279678e-15,6.669905356616824e-17
3821.7561822825683,2.1411887528592546e-15,6.663199899699225e-17
3824.50590058598,2.0257072454459187e-15,6.552910254266304e-17
3830.005350183052,2.1914146302578824e-15,6.64222855506529e-17
3835.5048166705583,2.140204500574545e-15,6.540181599000338e-17
3838.254556087008,2.2130506045878358e-15,6.617643423771234e-17
3841.004299532606,2.142553746453755e-15,6.511264026529975e-17
3843.754046942863,2.2431528849838327e-15,6.603339154874477e-17
3849.2535533993946,2.03626508761697e-15,6.336695168312294e-17
3852.0033123166863,2.162294061047753e-15,6.446759158874109e-17
3857.502841206861,2.2370320131487363e-15,6.500468326919422e-17
3871.251724913492,2.6947626886143295e-15,6.893182579768568e-17
3874.0015116784803,3.417114291856928e-15,7.597420330494574e-17
3876.7513016341936,3.8719832665102226e-15,7.979757767995365e-17
3879.501094716132,4.42579627731466e-15,8.452227452017893e-17
3882.250890859794,4.60887694314952e-15,8.600200137436279e-17
3885.0006900006797,5.096266053746749e-15,8.941786687495767e-17
3893.2501047616547,3.8298645532080025e-15,7.831118044131016e-17
3895.999915246409,3.653445801503298e-15,7.662481063522075e-17
3898.7497284058695,3.4730193134086592e-15,7.496217098654426e-17
3901.499544175532,3.0828602677938043e-15,7.171602309531057e-17
3904.2493624908902,2.939808684980288e-15,6.935553417721494e-17
3906.999183287439,2.793969516737358e-15,6.770270819932579e-17
3917.9984899953815,2.408556396725969e-15,6.300619505693141e-17
3926.2479929179344,2.1567366778808177e-15,5.999824209488848e-17
3928.9978312417034,2.0482821557979035e-15,5.838153413126584e-17
3931.74767146608,2.0447529930231684e-15,5.811629370476703e-17
3934.4975135265536,1.975363206951149e-15,5.736607397640594e-17
3939.9972028977404,1.9762472975898455e-15,5.704698740075238e-17
3942.7470500794284,1.9260464076631617e-15,5.633356066603765e-17
3945.4968988391624,2.008913970233655e-15,5.713130688367359e-17
3948.246749112429,1.825794764399695e-15,5.48680547009448e-17
3953.7464539415028,1.9306834895329054e-15,5.60706760499234e-17
3956.496308368282,1.964188089519786e-15,5.608772920543179e-17
3959.2461640505353,2.0358737583953384e-15,5.667030258468554e-17
3961.9960209237483,2.0013184140373888e-15,5.626186065054155e-17
3964.7458789234056,2.0926707056405282e-15,5.707190869824738e-17
3967.495737984991,2.1793990443846065e-15,5.786176030411712e-17
3970.24559804399,2.0936187472667426e-15,5.69552960842121e-17
3975.745320896159,2.8197074598726272e-15,6.405442479893821e-17
3978.495183560296,2.8995591616344215e-15,6.466877514860379e-17
3986.7447757307204,3.208766209688999e-15,6.704008358911161e-17
3989.494640965141,2.766152954749527e-15,6.290722455100066e-17
3992.2445066808395,2.7521324418901e-15,6.261982891897524e-17
3994.9943728132985,2.6425369664272343e-15,6.137493533197273e-17
4003.243973066059,2.228994941028714e-15,5.697165440800595e-17
4005.9938402203816,2.0863740744688766e-15,5.535429793478307e-17
4008.7437074688755,2.0940994384643094e-15,5.527132841062155e-17
4014.2434419903057,1.9583602910844397e-15,5.3751251686157356e-17
