source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ruwe
65707673870040832,58.21587315431726,23.563201391104737,7.859820054121889,0.17870578,20.33574713064993,0.23990847,-47.40933826263048,0.1305257,18.111927,3.5025177,1.0654304
66483761579269888,57.9794373962889,23.96153929783951,7.5226590840494225,0.06515594,18.94046079568417,0.07275873,-46.25269448409783,0.049362104,16.594847,2.9742832,0.98965865
66486613437582464,57.71234435994343,23.978782486939792,5.872953318573107,0.08234983,16.51052408530501,0.101677544,-38.21380749491175,0.05864426,16.524082,3.2027216,1.1758201
66525061984664832,57.32009187663972,24.0160781290582,7.580502634460286,0.1334272,21.34908679724192,0.17282772,-45.863136283697386,0.096865125,16.842762,3.1020355,1.2055372
66555573432261120,57.5542317446932,24.35181775807784,7.242842948139719,0.046472624,18.91281125677541,0.049399678,-46.54540443340967,0.041866496,15.331129,,1.163449
66565365957676416,57.58720760547455,24.466545088074653,7.247913855179051,0.023266941,20.345935596036103,0.02792225,-45.482774434852,0.022153514,10.915199,0.9196377,1.2305748
66728089380491648,56.796014445411146,24.230810652961136,7.219228074892927,0.13816188,19.51262477045458,0.22960587,-45.79436569802546,0.12339637,17.542105,3.0739517,1.052468
66735446661374976,56.782901747247,24.39366460107138,7.034787986819494,0.10991367,19.49858518138614,0.15904829,-44.450118046415774,0.10008563,17.16143,3.0484152,1.0650328
66765751950550144,57.16855137094933,24.609291605540086,7.481852062532634,0.05812273,21.09433557700707,0.063373856,-46.54092951892664,0.04614008,16.251667,2.9620256,1.0530705
66781832308018176,56.618484292947535,24.433739343907018,7.373997130574647,0.016248994,20.11114396745309,0.023521593,-43.52995455982669,0.013414132,10.873117,0.9607105,0.9885728
66787119410915072,56.66214340428439,24.5201075850397,7.412614947686768,0.013819418,20.23976526440455,0.02095666,-46.04620425308153,0.012448456,12.868829,1.5127659,0.9290448
66831069813319936,57.175686739164334,25.007696354218737,7.342300530836172,0.04011301,19.764167455834706,0.053702384,-46.08059701474693,0.033656947,15.47262,2.6695328,1.1613567
68283421593270400,55.3435988820874,24.3975485250734,7.416619725713781,0.12550455,20.12459547363482,0.15623295,-45.74648397558014,0.11983232,17.57024,3.4147701,0.92650163
68310359628169472,56.09137691950323,24.76820671721937,7.409644234463458,0.017603276,21.23766123542085,0.025199149,-46.651102602560094,0.014651806,12.553257,1.3937836,1.1281407
69834763780636672,56.30933332022195,25.088631638618697,6.7238369311690125,0.018052604,18.962293916845173,0.01925591,-41.36768252342469,0.014056188,13.686684,1.7572775,1.0770315
69876712724339456,55.951482385995824,25.004185022844748,7.435405583801451,0.022914376,19.85967336466963,0.03172604,-45.6027373395702,0.02090213,11.434036,1.1084728,1.1137286
69964879813013248,56.83709232128784,25.52563883889348,7.44663752434784,0.02141899,19.303587860106475,0.031532314,-45.56852791313415,0.018631194,9.696473,0.7528343,1.1370097
64843805623922688,55.85491728898192,22.895492287024965,7.5264024127197535,0.07351991,20.22244223371612,0.08841846,-46.15960948932732,0.062151253,16.934334,3.1049414,0.97739536
64864593265614464,56.15749648469315,22.92084569104336,7.194518033619004,0.033353884,20.301380268297027,0.03772871,-41.24391102884243,0.027458498,14.602414,2.368352,1.3723792
64913452814489216,56.95058643018479,23.21788377589549,7.411184638689342,0.020458069,20.05366161056612,0.02706992,-45.84753613421944,0.016234322,10.945833,0.9447975,0.90876555
64966916567283456,56.730541115448666,23.38021298877048,7.294694239567216,0.119221516,18.858429537627444,0.1381728,-45.66888505121055,0.09883255,17.4539,3.1989937,1.0561346
64974574492213248,56.42870174000814,23.336589161292384,7.492486097833367,0.0977831,21.406088529779183,0.13026962,-45.052319844566526,0.076506026,17.363674,3.2474785,0.9524142
64981863053470592,56.59367990042645,23.485427897777026,7.150415256448715,0.08726354,19.859186488699244,0.10187264,-44.830015852542616,0.06970668,17.219704,3.3249388,0.9135021
65012408860856832,56.93613786706123,23.700704540102134,7.252925571892042,0.07700363,20.328177414703305,0.081023626,-45.2162921326636,0.060450424,16.648165,3.0387678,0.9428905
65019246448775424,57.02449569519243,23.883443039373205,7.392645465941637,0.10585207,20.181137542829056,0.12842105,-43.46642919787849,0.081522636,17.37894,3.1116486,1.0650707
65181321334778240,56.14966288663878,23.578175173592527,6.731841119516058,0.2100842,19.19231470727461,0.2552281,-43.68124042306106,0.17099638,18.633621,3.9137058,1.0218021
65190220507070208,56.373319246952896,23.760302335308378,7.399616619911859,0.015352413,19.06502132392825,0.01813691,-45.755836459670746,0.013500314,12.855757,1.5521526,1.0100722
65212691773969280,56.82547570016037,24.03643638599481,7.272169990979735,0.070744686,21.437427455270196,0.13300417,-44.72954897209159,0.119677596,14.673646,,1.0385517
65229184450247296,56.51910615107269,24.16536856902076,7.497115632105594,0.10239434,18.93781078845328,0.11629534,-44.62061805868336,0.07551054,17.291239,3.2110767,1.0340664
65241313435901568,56.1334290890114,23.87484927646505,7.367449998542193,0.039420117,19.57888027760635,0.04786971,-45.42340532837509,0.036977574,14.320809,2.1890354,1.1024199
65255400930587648,55.578747184694514,23.98932181251455,4.583016017847901,0.021172876,24.221569237599823,0.028190894,-49.002360368334365,0.016828384,14.088701,1.7290001,1.0195392
65289588870240384,56.04138926525986,24.26762455350562,7.302329783350095,0.037919894,21.472255504994397,0.040605698,-43.34423303830621,0.028928474,15.17523,2.5290985,1.1070453
65298483745290368,56.22548048214077,24.44616834794828,7.687680328152036,0.07440104,19.84753721236225,0.08902547,-46.01917781646604,0.0664306,16.687817,2.9233704,1.0488245
65677098000371712,57.779677513231455,23.349183178047287,6.69801332118288,0.0668921,17.208624900521556,0.08379107,-41.877844853353125,0.051346015,16.782677,2.9567537,0.9534129
66451497784867712,57.33962532353392,23.6515782545828,7.376227208651057,0.045091506,18.204462282608745,0.05493896,-45.55520366974744,0.041579086,15.786174,2.780384,1.0369788
66485582645439104,57.7424400126132,23.92835794530036,7.21238536877687,0.064764075,18.43129956497794,0.08000431,-43.31389853777661,0.04928005,16.709013,3.0027494,1.0054784
66512074003566976,57.40055541252771,23.939616754347057,7.28785562194042,0.063518226,19.411524359447647,0.08237592,-44.5730025382453,0.04334372,16.154657,2.8705664,1.0865008
66523103479455232,57.14081534926531,24.032849766880865,7.065936301955448,0.07758705,19.299176702015146,0.110836565,-44.18203911333444,0.05932207,16.814566,2.9588032,0.9394521
66556672943906688,57.42804497400579,24.31856840993281,7.469814986220502,0.060929585,20.44678768144668,0.06570722,-47.8397668094135,0.05457465,16.043076,3.0495577,1.1767701
66560727393001216,57.72778472773581,24.36532670246176,7.474582166375677,0.07193563,19.16866003126157,0.07375774,-47.10024451822018,0.05332464,16.679499,2.967493,0.9842361
66600584688538624,58.32170445871488,24.47423234704669,3.434394590280461,0.063842624,29.637836054912235,0.08229032,-35.115033901261924,0.050086293,16.494896,2.2426147,1.0848
66657415696297344,57.86348961016656,24.518448754707425,7.251437641917489,0.027222686,19.74663141605784,0.032505643,-45.4512945621952,0.020635752,8.769578,0.534214,0.93897635
66747816167123712,57.426245257389006,24.462799736001266,7.547732480662261,0.018327165,18.676157331737546,0.020423349,-46.77229142531257,0.012882485,11.899782,1.1820087,1.1796322
66749121837171840,57.38774921504782,24.533832683321616,7.418666857726491,0.035878733,20.208257770798163,0.044577777,-46.08040738976238,0.025125641,15.359683,2.5900593,1.0772529
66791483097102464,56.90992716923971,24.59977311594228,7.089912221780614,0.09857245,19.552870790207542,0.11873307,-43.37928949268648,0.08866117,17.592712,3.2622795,0.9624747
66820590092840960,56.908632149092455,24.81955061391246,7.321610715925585,0.03866026,18.77571686440077,0.040424813,-44.18426716411387,0.029524622,15.393848,2.5778227,1.0841954
66941635153934848,57.1514685446018,25.261289868637768,7.418767708082097,0.18068352,19.443260865067547,0.24389099,-45.49184868196514,0.13636823,18.321291,3.41366,0.91953284
68268165869533568,55.73575580016508,24.22917036681453,7.53592059810258,0.088769585,19.901504654785438,0.090990655,-46.99139134250538,0.069249965,17.094841,3.1783934,1.0597413
68303487680516224,56.109579035829455,24.58950062402356,7.465685925621427,0.019542068,19.65581279402085,0.027865015,-46.0475584579759,0.016938547,11.282754,1.0796499,0.9851145
