SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_n_good_obs_al,dist_pc
1737138319308528256,316.57441153952226,7.506977047766887,16.203804366497543,0.023478506,7.616475,0.62452793,1.0774218,0.14212978,23.809258,720,61.713902327009535
1744885821834794496,316.85026792059233,10.48406204910479,14.676678029011628,0.029306822,10.61203,1.4506283,2.3016658,0.23537204,88.72177,512,68.13530950418642
1746660635464877440,318.6490460625098,12.163861402671714,13.020685718751446,0.01697859,9.766417,1.0849314,0.9238494,0.058303062,4.231912,310,76.80087067610215
1746740143898999168,319.8950232224503,12.6511307478465,12.722744272087136,0.08187546,10.076844,1.0012255,4.023251,0.5771374,294.9628,300,78.59939480147646
1759623813132980864,318.4010337421127,14.689383345555783,20.283719234387764,0.016704543,9.359003,1.1715136,1.0536157,0.08465556,9.899381,388,49.3006232458918
1759638622180353152,318.5240442195032,14.948458290446816,17.593559306672848,0.014220258,10.032414,1.1776581,0.9715654,0.07866502,9.821463,451,56.83898195748953
1760675113751023360,317.61182105466247,15.7164614917354,12.307191503062166,0.016965782,9.62904,0.86860275,1.0542065,0.08887873,10.586775,329,81.25330622759782
1767847850870013696,330.27254765433565,13.11956679422862,14.439610736117368,0.055661183,5.517865,0.4998803,1.1933566,0.37141916,183.84615,141,69.25394446394111
1770396720686688896,323.59694795094373,13.919641416342271,16.305173768416665,0.01863612,8.033058,0.7514653,0.8942026,0.091878116,5.710865,278,61.33022647921809
1770484101796716288,324.76389770687894,13.462322967584749,10.290015824892961,0.013834204,10.224344,0.938056,0.8185986,0.05984547,4.7169266,287,97.18158038016449
1770517499462395136,325.0982946393754,13.676064390925344,10.387287041208266,0.017069861,9.5840845,0.8189173,0.97698665,0.08417507,7.8967047,244,96.27152845904973
1771172597938006272,322.0262633766918,14.198639610235254,10.019766077287219,0.015512758,10.664703,1.0303507,0.9675379,0.070678525,7.3270707,367,99.80272915420626
