specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84,sfr_tot_p50,N2,log_OH
301771164122900480,268,51633,109,150.20822,-0.14916317,0.04281429,305.8771,3.961233,75.59972,2.640663,12.83736,2.253856,117.3492,3.245783,10.24981,10.16092,10.33467,-0.002765471,-0.4160668307736094,8.662841906459043
299491051834468352,266,51630,6,146.63167,-0.98827781,0.05265425,127.3058,2.640886,38.33226,2.279489,35.46671,2.388157,25.78963,1.602235,9.363875,9.29432,9.457402,-0.4110092,-0.6934030789586952,8.504760244993545
299536681567021056,266,51630,172,146.28301,0.064056069,0.0215799,136.375,2.585506,28.29921,2.410678,28.87652,2.287023,38.69307,1.757945,8.997279,8.9031,9.090311,-1.1372,-0.5471015745532334,8.588152102504658
301889361622886400,268,51633,539,149.65731,0.87075168,0.03902926,633.8989,5.792587,162.0747,3.043153,174.2333,3.514477,128.8082,2.338598,9.614254,9.54467,9.701806,-0.09166654,-0.6920764868181295,8.505516402513667
301902555762419712,268,51633,587,150.22255,0.55250011,0.04627055,166.8309,3.157361,39.89712,2.379163,9.594817,1.732352,50.62418,1.773959,9.750198,9.659886,9.840364,-0.4568921,-0.5179184910169303,8.60478646012035
299625742008870912,266,51630,496,146.17224,0.57064832,0.1443569,173.359,3.039831,41.44617,2.804401,15.18344,2.650295,63.29676,2.475496,10.52166,10.43293,10.6166,0.5626905,-0.43756491298744,8.65058799959716
300777480069867520,267,51608,590,148.86002,0.74859553,0.08944283,158.5138,2.67717,40.13844,2.189026,14.58842,2.167369,77.83401,2.174662,10.26641,10.17104,10.36053,0.08431192,-0.30889767146685176,8.723928327263895
300644164284999680,267,51608,105,148.87361,-0.29058415,0.1354369,164.0225,3.250294,45.68753,2.303758,13.09859,2.553002,74.49374,2.697261,10.79502,10.71426,10.88966,0.8989325,-0.3427836482255805,8.70461332051142
301760718762436608,268,51633,71,150.301,-0.006601762,0.03264355,128.2808,2.394579,27.99174,1.952725,22.77008,1.986404,32.7762,1.698053,9.28467,9.200379,9.384112,-0.7312996,-0.5926030586506443,8.562216256569133
302867656740988928,269,51910,2,151.50262,-0.94281438,0.04359543,289.3204,3.970433,87.80264,3.02493,216.2337,4.350788,29.04395,1.879849,8.895643,8.834828,8.970867,-0.2440129,-0.9983233764241616,8.33095567543823
300633444046628864,267,51608,66,149.06268,-0.029201504,0.06383968,497.6858,5.561821,112.1052,3.298527,20.10443,2.90599,207.3628,3.694206,10.2292,10.1399,10.32755,0.3829436,-0.3802244011387178,8.683272091350931
300655434279184384,267,51608,146,148.58493,-0.31146803,0.02968988,39.28343,1.473909,15.30469,1.505966,21.22053,1.851103,6.298053,1.095224,8.576424,8.513987,8.649391,-0.808125,-0.7950030897978854,8.446848238815205
302991076921206784,269,51910,451,150.89163,0.91992167,0.09782924,223.886,3.609516,59.36614,2.52725,14.30808,2.253624,90.58877,2.557127,10.28656,10.19605,10.38569,0.2296936,-0.39295257428577857,8.676017032657107
299552349607716864,266,51630,229,145.68939,-0.011335705,0.09768173,270.9315,3.600594,57.52115,2.602858,25.31132,2.533188,88.04391,2.432146,10.28719,10.19302,10.38187,0.3071693,-0.4881601802764152,8.621748697242444
304002902479890432,270,51909,36,153.78413,-0.2442526,0.1435468,369.441,4.90417,80.5034,3.089376,26.17229,2.93495,131.5571,3.577817,10.54264,10.45524,10.64,0.8777559,-0.44843079964341076,8.644394444203256
300788750064052224,267,51608,631,149.07411,0.57468091,0.0650007,1948.772,14.13681,404.4327,5.153185,413.2411,5.431853,634.2519,5.488029,10.08703,9.923734,10.22604,0.7592734,-0.48749925415247014,8.622125425133092
300783252505913344,267,51608,611,148.76194,0.75748407,0.04713756,302.2073,4.23329,86.11896,3.127371,59.23248,2.909816,78.71181,2.27281,9.616385,9.552298,9.706693,0.05454562,-0.5842650515417731,8.56696892062119
299594680805386240,266,51630,383,145.59403,0.30938427,0.04570889,586.3332,6.867763,113.9731,3.847119,37.4241,3.757887,269.3496,4.707122,10.50634,10.40837,10.60452,0.220492,-0.33782815104878255,8.707437953902195
