tjd,aperture_difference_flux,scaled_aperture_flux,mit_difference_flux,residual
1328.115678255173,-2.1591930389404297,-3272.519455345803,-4858.3889123527315,1585.8694570069283
1328.1365118662945,-2.043609619140625,-3055.231544340917,-4323.237440527125,1268.0058961862078
1328.157345477242,-1.6838455200195312,-2378.9027967750894,-3609.4125134237397,1230.5097166486503
1328.178179088073,-1.4977703094482422,-2029.0957581456787,-3961.6103878369495,1932.5146296912708
1328.199012698846,-1.8660888671875,-2721.5062278662767,-5145.790765054044,2424.284537187767
1328.2198463094442,-3.008302688598633,-4868.780080856673,-4573.612284163608,-295.1677966930647
1328.240679919925,-0.7352237701416016,-595.567101034383,-4191.583472161194,3596.0163711268106
1328.26151353029,-2.608804702758789,-4117.754692058254,-5609.29012200398,1491.5354299457267
1328.2823471405395,-2.1059951782226562,-3172.5115818522263,-3743.8867071917675,571.3751253395412
1328.3031807506725,0.0060558319091796875,797.9813549563581,-3686.904110971399,4484.885465927757
1328.324014360688,-2.024993896484375,-3020.2354221044498,-4359.447977152852,1339.2125550484025
1328.3448479705876,-0.9384727478027344,-977.6594966942397,-4081.185197194118,3103.525700499878
1328.365681580312,-1.5131282806396484,-2057.9675589907642,-2863.8766567499765,805.9090977592123
1328.3865151899786,0.44959449768066406,1631.7998239228132,-2963.487711360406,4595.28753528322
1328.407348799471,-1.8335628509521484,-2660.359826995531,-4761.302817769306,2100.942990773775
1328.428182408847,-1.8739337921142578,-2736.2540814276076,-3580.3351887902895,844.0811073626819
1328.4490160181056,-0.8821945190429688,-871.8607689576407,-3982.1590690061644,3110.2983000485237
1328.469849627248,-1.1473712921142578,-1370.3726417459425,-3806.4794226625954,2436.106780916653
1328.490683236216,-1.1305866241455078,-1338.818761040931,-5397.905775590165,4059.087014549234
1328.511516845126,-2.1838035583496094,-3318.7853329295267,-6322.869312241195,3004.0839793116684
1328.532350453862,-2.9821643829345703,-4819.64208299514,-6535.9015862788565,1716.2595032837162
1328.553184062481,-4.077585220336914,-6878.948736515531,-6709.072491545192,-169.87624497033903
1328.5740176709255,-3.012786865234375,-4877.209986940477,-5197.681655328692,320.4716683882143
1328.594851279311,-1.851369857788086,-2693.8356258889385,-4633.581761582158,1939.7461356932195
1328.6156848875225,-2.8551387786865234,-4580.843748086918,-3403.879787818072,-1176.9639602688458
1328.6365184956185,-1.5244007110595703,-2079.158858418789,-4421.290731510661,2342.1318730918724
1328.6573521035389,-3.9735984802246094,-6683.461688543198,-5402.370174816252,-1281.0915137269458
1328.678185711401,-2.657459259033203,-4209.221503751905,-5061.373168695199,852.1516649432933
1328.6990193190886,-1.8597984313964844,-2709.680693938421,-5042.982046399907,2333.3013524614857
1328.719852926601,-2.6072349548339844,-4114.803687078683,-6750.975589868797,2636.1719027901145
1328.7406865340558,-4.999444961547852,-8611.973920873053,-6536.924772496993,-2075.0491483760607
1328.7615201413364,-2.027067184448242,-3024.1330435051714,-4572.811962054409,1548.678918549238
1328.782353748501,-2.2166671752929688,-3380.5663970826345,-6235.263351510181,2854.696954427546
1328.80318735549,-5.697013854980469,-9923.349617305073,-7165.148331666905,-2758.201285638169
1328.8240209623625,-2.8090438842773438,-4494.188903200779,-6795.213303433969,2301.024400233189
1328.8448545691185,-3.3118133544921875,-5439.356714373306,-5850.571510847034,411.2147964737278
1328.8656881757001,-2.243989944458008,-3431.9310949348264,-5395.806975495923,1963.875880561097
1328.886521782224,-2.690927505493164,-4272.139224744046,-5251.187270322143,979.0480455780971
1328.907355388515,-2.5637779235839844,-4033.1078213987976,-3911.3720690306627,-121.73575236813485
1328.928188994747,-1.4055023193359375,-1855.6390559746633,-3662.9076783016367,1807.2686223269734
1328.9490226007465,-2.7142810821533203,-4316.042146943156,-5012.939220933618,696.8970739904626
1328.969856206688,-2.001070022583008,-2975.2603850950227,-5182.532739556706,2207.272354461683
1328.990689812455,-2.6042327880859375,-4109.1598452344,-2330.9212033284075,-1778.2386419059922
1329.011523418106,-0.0741119384765625,647.2721322390465,-3096.6583983752057,3743.9305306142523
1329.0323570235814,-1.9108734130859375,-2805.6977186564663,-5514.3578232014925,2708.660104545026
1329.053190628941,-3.347309112548828,-5506.086000727882,-3970.098599405991,-1535.9874013218905
1329.0740242341249,0.1497173309326172,1068.0538884451619,-1905.8968402245482,2973.95072866971
1329.0948578392515,-0.433563232421875,-28.468565731824242,-3824.775404611314,3796.30683887949
1329.1156914441453,-2.1889266967773438,-3328.416437881079,-4933.853878567505,1605.4374406864254
1329.136525048923,-2.218914031982422,-3384.790314295192,-5219.105490943833,1834.3151766486408
1329.1573586535842,-4.209480285644531,-7126.901282496469,-5394.53659604417,-1732.3646864522989
1329.17819225807,-2.158660888671875,-3271.519053900724,-5239.96012169627,1968.4410677955461
1329.1990258624396,-3.4859580993652344,-5766.735398024325,-5023.388544499016,-743.3468535253096
1329.2198594666345,-2.647449493408203,-4190.4039167132805,-2862.1002716336884,-1328.3036450795921
1329.240693070714,-1.9511547088623047,-2881.4234466802322,-2154.593800118473,-726.8296465617591
1329.2615266746766,-1.9497108459472656,-2878.709095805949,-2159.512281253467,-719.196814552482
1329.282360278406,-2.1152477264404297,-3189.905658590864,-2498.509062166009,-691.396596424855
1329.303193882077,-1.8386096954345703,-2669.847505216606,-2477.0795444007204,-192.76796081588554
1329.3240274855734,-0.47780609130859375,-111.6417267356253,-1570.586422034079,1458.9446952984538
1329.3448610888959,-1.09869384765625,-1278.8628020331466,-1376.5743603083743,97.71155827522762
1329.365694692102,-1.239938735961914,-1544.392293834081,-1397.9257040306754,-146.46658980340567
1329.386528295133,-0.8079910278320312,-732.363930895394,-1717.8306953675688,985.4667644721748
1329.4073618980474,-0.6831398010253906,-497.65325780577484,-560.8726133801626,63.219355574387805
1329.428195500787,0.6599483489990234,2027.2488338583707,-162.77159630627966,2190.0204301646504
