pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
Kepler-725 b,Kepler-725,2016,Transit,39.64372,0.231,0.05,-0.044,0.96351312,0.257,0.95,5395.0
CoRoT-5 b,CoRoT-5,2009,Transit,4.0378962,0.09,0.09,-0.04,1.388,0.467,1.0,6100.0
CoRoT-29 b,CoRoT-29,2015,Transit,2.85057,0.082,0.081,-0.081,0.9,0.85,0.97,5260.0
WASP-197 b,WASP-197,2025,Transit,5.167228,0.0,,,1.289,1.269,1.36,6050.0
HAT-P-69 b,HAT-P-69,2019,Transit,4.7869491,0.0,,,1.676,3.58,1.648,7394.0
OGLE-TR-111 b,OGLE-TR-111,2004,Transit,4.0144463,0.0,,,1.019,0.55,0.82,5040.0
TOI-5153 b,TOI-5153,2022,Transit,20.33003,0.091,0.024,-0.026,1.06,3.26,1.24,6300.0
HD 159243 b,HD 159243,2013,Radial Velocity,12.62,0.02,0.018,-0.018,1.22,1.13,1.125,6123.0
TOI-1899 b,TOI-1899,2020,Transit,29.090312,0.044,0.029,-0.027,0.99,0.67,0.632,3926.0
Kepler-487 b,Kepler-487,2016,Transit,15.358768403,0.0,,,1.01882416,,0.91,5444.0
DMPP-8 b,DMPP-8,2026,Radial Velocity,62.915,0.275,0.049,-0.049,0.96,0.25513767,0.99,6009.0
HAT-P-25 b,HAT-P-25,2012,Transit,3.65281514,0.023,0.022,-0.014,1.135,0.569,1.012,5519.0
TOI-892 b,TOI-892,2020,Transit,10.62656,0.125,,,1.07,0.95,1.28,6261.0
WASP-12 b,WASP-12,2008,Transit,1.091418901,0.0447,0.0043,-0.0043,1.965,1.47,1.325,6265.0
TOI-3540 A b,TOI-3540 A,2022,Transit,3.119999,0.0,,,2.1,1.18,1.081,5810.0
TOI-2803 A b,TOI-2803 A,2023,Transit,1.96229325,0.0,,,1.616,0.975,1.118,6280.0
