id,z_phot,f_f444w,e_f444w,mu,mu_low_68,mu_high_68,intrinsic_f444w_proxy
16099,8.60557,1.047697,0.1483473,1.534237,1.541503,1.567207,0.6828781993916194
16106,8.727484,5.570557,0.9330383,1.424582,1.427305,1.449199,3.9103098312347058
16162,6.590985,21.27034,0.7534055,1.80441,1.78539,1.819678,11.787975016764483
16187,8.541298,4.36847,0.4074707,1.828432,1.804862,1.844165,2.3891892069270284
16362,6.575644,4.54813,0.4103703,1.836193,1.820754,1.854653,2.476934614171822
16391,6.663407,3.914045,0.5505305,1.425707,1.413695,1.433564,2.7453361735616086
16411,6.751244,26.40773,0.8419585,1.294441,1.283381,1.298978,20.40087574481958
16426,6.306871,0.8502801,0.1500478,1.696939,1.692891,1.748355,0.501066980015192
16464,8.555531,1.599287,0.2313283,1.440359,1.443172,1.466211,1.1103391585014568
16473,7.705003,3.252456,0.1903012,1.872894,1.851439,1.892057,1.7365937420911166
16524,7.562046,2.895112,0.2412199,1.395205,1.401555,1.418474,2.075044169136435
16593,8.6601,7.774156,0.3161728,1.729856,1.711365,1.743407,4.494105867771652
16717,8.534425,1.278361,0.1970616,3.140139,3.107516,3.21478,0.40710331612708867
16883,6.249249,7.380226,0.5061028,1.606818,1.590662,1.617391,4.593069034576411
16954,6.573932,9.566879,0.4122939,4.38119,4.400551,4.667276,2.183625681607052
17195,6.027818,1.069197,0.1854902,2.20815,2.217698,2.300969,0.48420487738604717
17303,6.868952,5.534045,0.2849749,1.755932,1.737889,1.775419,3.151628309068916
17404,11.39168,1.485589,0.2709528,1.434525,1.437885,1.459813,1.035596451787177
17436,6.17914,2.158157,0.2101581,1.516328,1.524668,1.548496,1.4232784727314935
17448,11.40054,0.9635735,0.1740721,1.485615,1.491656,1.513347,0.6486024306432017
17536,6.289127,6.783656,0.2685403,2.120418,2.074313,2.140649,3.199206948818582
17540,6.682394,10.78838,0.436395,2.139574,2.10118,2.161086,5.042302813550735
17670,8.028376,2.197525,0.137612,1.79802,1.799128,1.850972,1.2221916330185427
17674,8.002891,1.173208,0.1818399,1.866061,1.846321,1.887287,0.6287082790969856
17792,8.029567,1.633493,0.1382474,1.798436,1.801502,1.850764,0.9082853101250198
17793,8.002877,0.9308584,0.1369504,1.796496,1.803124,1.850819,0.5181522252206517
17949,6.665819,7.452245,0.6026444,1.324682,1.310842,1.329167,5.625686013699892
18082,7.059962,5.766622,0.409279,9.368107,9.495766,10.88407,0.615558938428009
18273,6.496407,4.146701,0.3853085,1.943932,1.912699,1.967146,2.133151262492721
18316,7.710117,6.211434,1.063864,1.764547,1.743342,1.781197,3.5201295289952603
18431,9.313706,0.9395455,0.1767647,2.622025,2.617049,2.769085,0.35832820053203157
18460,6.231859,5.746793,0.4226168,2.099743,2.063224,2.123675,2.7369030400387095
18493,6.207298,6.930196,0.2765222,1.491345,1.499428,1.520551,4.646943530839611
18658,6.405668,1.379256,0.2594827,4.647693,4.359314,4.677073,0.2967614255072355
18761,6.315541,0.9415696,0.1808834,1.62279,1.628962,1.661196,0.580216540649129
18896,6.174059,0.8323653,0.1505381,1.622492,1.631672,1.661315,0.5130165818999416
18958,7.826241,4.113645,0.3964533,1.862386,1.871929,1.929577,2.208803652948422
19024,7.444934,2.27716,0.2118802,1.382655,1.387992,1.404886,1.646947358523999
19030,12.13943,0.9204887,0.1735878,2.139522,2.144462,2.235927,0.430231004869312
19110,6.606101,2.251846,0.152156,4.179352,3.946457,4.250255,0.538802666059236
19111,6.72285,4.240084,0.2277478,4.140078,3.904931,4.187696,1.0241555835421459
19112,6.635434,4.092441,0.2336285,4.271963,4.050502,4.308858,0.9579766959592112
19113,6.647596,0.8175669,0.1486144,4.038209,3.777956,4.078581,0.20245779750379436
19120,6.488524,2.5898,0.1889937,9.317399,8.042555,9.255042,0.2779531068702757
19147,7.235286,4.263534,0.2021451,1.459602,1.463696,1.484948,2.9210250465537864
19192,8.056314,1.846224,0.2543921,1.478664,1.484574,1.505674,1.2485757413448897
19308,7.66755,1.47059,0.1591674,13.28332,10.05816,11.99568,0.11070952141482703
19309,7.861781,1.781749,0.1619415,11.78683,9.147268,11.04228,0.15116439280111785
19342,6.709297,1.026501,0.1654995,3.72996,3.572604,3.761593,0.275204291735032
19418,7.134415,8.537084,0.4645647,1.502222,1.488209,1.510977,5.682970959019373
19420,6.572209,2.871499,0.4536778,1.50113,1.488609,1.510916,1.9128916216450274
19423,6.465579,0.922322,0.1376002,2.275812,2.274557,2.36827,0.4052716129451817
19485,6.801514,2.630887,0.2738346,3.548534,3.396503,3.613447,0.7414010969036791
19604,8.342968,2.053816,0.380392,1.456878,1.460219,1.485872,1.4097378092057125
19632,6.67015,4.242607,0.5241891,1.337558,1.323497,1.343026,3.17190506878954
19678,6.316435,1.916554,0.1477182,3.218916,3.108449,3.270409,0.5954035457899491
19679,6.498336,1.728952,0.1491123,3.325072,3.19556,3.368962,0.5199743043158164
19728,7.966809,3.567296,0.143524,1.930713,1.939291,1.992864,1.8476573162349867
19843,9.149778,1.433305,0.2421679,1.661322,1.66666,1.699784,0.862749665627735
19967,6.204998,0.8528288,0.1635362,1.534689,1.538601,1.565144,0.5557013831466832
20026,6.492422,15.58109,0.245433,2.153732,2.124778,2.19209,7.2344609264291
20126,6.34192,1.181984,0.1392576,2.463635,2.456142,2.590466,0.4797723688776949
20464,7.97086,0.7815541,0.1383017,2.085214,2.088101,2.160517,0.3748076216637717
20669,6.627085,1.659116,0.1512695,2.98737,2.913014,3.048401,0.5553768030073275
20721,7.269379,0.9354139,0.1471312,4.604312,4.558313,4.979156,0.20316040702715193
20783,6.645969,2.790867,0.1510198,1.842394,1.844476,1.895441,1.5148046509052895
20805,6.297269,7.234684,0.2590654,2.64488,2.600268,2.716099,2.7353543449986386
20902,6.208582,2.285253,0.2453647,2.866535,2.825076,2.950941,0.7972178954731061
20930,10.98863,2.806864,0.3507129,1.987177,1.98843,2.051644,1.4124881678884167
21038,11.09594,8.129546,0.8868959,1.301806,1.284076,1.305661,6.244821425004954
21273,7.432137,1.455719,0.2141983,1.37978,1.384232,1.400315,1.05503703488962
21274,6.514759,1.309474,0.2125966,1.377105,1.378852,1.397844,0.9508890026541186
21348,6.034689,6.051684,0.3685997,1.802587,1.803209,1.852979,3.3572215931880125
21390,8.743676,82.41008,0.7497555,1.399468,1.380453,1.40632,58.88671981067091
21417,6.777774,1.284201,0.2111683,2.482264,2.447356,2.560116,0.5173506927546788
21418,6.522266,1.250147,0.2124175,2.466221,2.426012,2.545997,0.5069079372854257
21513,6.123055,3.546445,0.6108939,1.331456,1.313721,1.335988,2.6635840763795424
21524,6.148371,3.508339,0.44617,1.806662,1.781651,1.837087,1.9418900713027671
21755,6.250042,2.028423,0.2235196,5.031489,4.965557,5.392178,0.403145669204484
21807,6.087046,4.967062,0.3165075,1.374287,1.378397,1.39369,3.6142828972405328
21838,6.307255,21.71261,0.5179885,1.955664,1.933281,1.999333,11.10242352469545
21839,6.30571,9.817171,0.2216288,1.948178,1.923524,1.987683,5.039155046407464
21840,6.508631,10.38416,0.3488703,1.945883,1.921323,1.989446,5.336477064653939
21886,7.312599,5.157331,0.8811171,1.554276,1.534409,1.567922,3.3181564921545466
21888,6.520713,6.461065,0.3092087,2.032262,2.00753,2.077051,3.179248049710126
21894,6.49184,2.582693,0.3241665,2.208126,2.193411,2.263416,1.1696311714096024
21917,6.955273,1.754071,0.3303683,1.494658,1.497852,1.521386,1.1735601053886573
22005,9.968656,1.844989,0.3043543,1.408937,1.414924,1.43078,1.3094900623661667
22153,6.815244,9.817373,0.3806985,4.348887,4.311376,4.741085,2.257444950857541
22215,6.731756,1.217982,0.2254517,1.571438,1.576788,1.60354,0.77507480409663
22332,6.713137,2.393521,0.2332549,1.389306,1.392883,1.411522,1.722817723381314
22396,10.63862,1.195288,0.1602293,1.606095,1.611089,1.638038,0.744219986987071
22434,7.848228,1.453547,0.2381594,1.392489,1.398012,1.415512,1.0438481022112203
22500,6.189384,1.278693,0.1591497,1.488716,1.493687,1.515755,0.8589233943881843
22507,9.350554,10.13557,1.063996,1.284299,1.267917,1.289135,7.891908348445337
22529,6.694271,5.409662,0.4732925,1.745221,1.747208,1.7901,3.099700267186792
22641,6.971513,0.9405186,0.1309881,5.779076,5.635666,6.335993,0.16274549772316543
22696,6.652539,1.254233,0.1590226,5.85819,5.966123,6.646627,0.21409906472818396
22764,7.218799,0.7095934,0.1295802,3.08641,3.050422,3.254703,0.22990898811240246
22768,8.049586,5.259792,0.981581,3.234676,3.185614,3.423315,1.6260645579340869
22830,6.277545,2.816039,0.1584165,3.858196,3.882264,4.166129,0.7298848995748272
22997,6.232485,2.008195,0.1915059,1.999927,1.972874,2.052577,1.0041341508965078
23107,14.31445,0.6983572,0.1290094,6.69,6.514358,7.689213,0.10438822122571001
23271,6.228027,0.9850764,0.1288657,8.341142,8.079071,9.292368,0.11809850497689645
23436,6.363366,1.800463,0.3528748,1.622784,1.601565,1.647048,1.1094902340668875
23607,6.104855,0.9043857,0.1663611,1.460002,1.461877,1.485452,0.6194414117240935
23614,6.61943,1.9284,0.2890527,2.026386,2.001518,2.081807,0.9516449481984182
23772,6.116493,4.599672,0.2439392,1.713434,1.68695,1.748964,2.6844757370286807
23799,9.332969,2.801106,0.4487566,1.967496,1.965257,2.024931,1.4236908232596153
23918,6.5777,1.708852,0.2125922,11.58023,10.95302,13.14975,0.14756632640284348
23938,6.032638,1.068521,0.1786649,1.428073,1.430084,1.450574,0.7482257559662567
24146,6.222713,6.017604,0.2333139,1.92638,1.927355,1.98604,3.1237886605965595
24203,9.848802,4.128532,0.2909411,12.80567,12.32622,13.58018,0.3223987499287425
24213,6.289884,8.638298,0.3921148,1.628784,1.609667,1.649405,5.303525820489396
24227,7.039339,12.96487,1.582895,1.406021,1.386253,1.415594,9.220964693983944
24346,6.645835,5.732873,0.4357324,2.009623,2.009374,2.075086,2.852710682550906
24575,7.278117,2.026495,0.3718419,3.074481,3.080776,3.311225,0.659134013187917
24648,7.436994,1.990304,0.1821489,1.488517,1.492122,1.520841,1.33710532026171
24682,6.59184,20.77861,0.5082549,1.84349,1.818552,1.884729,11.271344026818698
24892,6.062513,1.26531,0.1612175,1.585785,1.584939,1.614153,0.7979076608745825
24929,6.222089,3.155465,0.367743,1.601705,1.576967,1.626063,1.9700662731276983
24947,6.800137,1.46721,0.1937308,1.988473,1.983445,2.044059,0.7378576425226795
24968,6.292715,36.43922,0.3693179,1.585696,1.560222,1.60496,22.979953282344155
25048,6.534067,5.457081,0.1804813,1.415196,1.414689,1.439811,3.8560602206337498
25114,6.183893,1.826673,0.2962972,1.553651,1.532373,1.571027,1.1757292982786998
25131,7.923925,3.682644,0.3946657,1.44353,1.417884,1.451215,2.551137835722153
