id,ra,dec,x,y,use_phot,flag_eazy,flag_star,flag_artifact,flag_nearbcg,nusefilt,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,z_spec,mu,mu_low_68,mu_high_68,flux_radius,iso_area,use_aper,f_f090w,e_f090w,w_f090w,f_f115w,e_f115w,w_f115w,f_f150w,e_f150w,w_f150w,f_f200w,e_f200w,w_f200w,f_f277w,e_f277w,w_f277w,f_f356w,e_f356w,w_f356w,f_f444w,e_f444w,w_f444w
3235,3.642228,-30.45493,2794.034,1115.996,1,1,0,0,0,7,6.660498,1.574624,0.1407465,0.9395086,4.676337,6.533929,6.799639,,1.251194,1.247923,1.260789,0.5689212,0.1072,0.32,,,,7.362769,2.100167,0.05788682,6.391645,1.745324,0.111382,7.049425,1.398004,0.1053814,7.670823,1.101826,0.1136666,9.64257,0.9871003,0.1070987,5.013829,1.533005,0.04398205
3288,3.626749,-30.4547,3994.924,1137.301,1,1,0,0,0,10,6.020689,1.974049,0.0980825,1.141239,5.665114,6.481944,7.749342,,1.290655,1.287129,1.303042,0.119471,0.0448,0.32,0.2693132,0.2577053,0.2190405,0.6632473,0.2422216,0.3265513,0.6122315,0.2019845,0.6240523,0.6898387,0.1593346,0.6087654,0.6799476,0.1371827,0.5502373,0.9561378,0.1237082,0.5116817,0.7620793,0.1966036,0.2006638
3330,3.610548,-30.4551,5251.88,1101.819,1,1,0,0,0,7,14.94593,1.459709,0.7955205,3.524888,12.77373,15.19959,16.34021,,1.336863,1.332317,1.349622,0.6147017,0.0704,0.32,0.207328,0.2256082,0.2257528,0.1683805,0.216264,0.3235792,-0.02200456,0.1994002,0.5057993,0.5208183,0.1582467,0.4874981,0.8964261,0.1407847,0.4126769,0.810131,0.1391234,0.3195718,0.9561486,0.2207926,0.1256768
3339,3.609907,-30.45454,5301.595,1152.361,1,1,0,0,0,9,6.168189,4.460871,0.4026518,0.9831488,4.087962,6.153552,6.53946,,1.32751,1.32199,1.340186,0.1242967,0.0384,0.32,0.6181718,0.2591089,0.2265151,0.9302131,0.25481,0.3084858,0.6255884,0.2355021,0.4799087,0.769117,0.1851219,0.4714609,0.9057291,0.1594984,0.4255271,0.9380194,0.1537173,0.3464512,0.4753716,0.2634893,0.116793
3366,3.614916,-30.45439,4913.006,1165.242,1,1,0,0,0,9,14.28264,5.023159,0.506835,2.78311,11.89486,15.08667,18.07169,,1.334612,1.329652,1.348855,0.1235171,0.0064,0.32,-0.1530835,0.3004309,0.2286687,0.3581735,0.261412,0.3977873,-0.07841853,0.2358595,0.6493451,0.3918139,0.187393,0.6244363,0.5030472,0.1619767,0.5599752,0.4653108,0.1590447,0.4392209,0.0206895,0.2519801,0.1733184
3413,3.600497,-30.45425,6031.663,1178.324,1,1,0,0,0,11,6.703257,3.730441,0.1393697,1.842323,6.424147,8.788956,11.27359,,1.332347,1.326355,1.34357,0.1114886,0.0048,0.32,0.01256204,0.222011,0.2331278,0.1550121,0.2135411,0.3318839,0.6054062,0.2004379,0.5005758,0.2676693,0.1610864,0.4704619,0.337084,0.1257436,0.517308,0.6491287,0.1254313,0.3931488,0.2947912,0.1970941,0.1577164
3415,3.62703,-30.45425,3973.101,1177.644,1,1,0,0,0,10,6.303613,3.43314,0.1737471,2.176604,6.218535,6.498591,6.771754,,1.292917,1.288089,1.307713,0.3260404,0.0304,0.32,0.4141071,0.2304428,0.2163799,0.7539974,0.2140635,0.3302661,0.6333297,0.1898054,0.5582289,0.379456,0.1419221,0.6060969,0.4176857,0.1175907,0.5915282,0.7268807,0.1047422,0.5638009,0.4667521,0.1691469,0.2141393
3416,3.603035,-30.45431,5834.77,1173.305,1,1,0,0,0,9,8.274329,2.555414,0.1621125,2.177351,8.154333,8.775158,9.968514,,1.337579,1.329217,1.350386,0.3350362,0.04,0.32,0.01510345,0.221557,0.2340842,0.5718915,0.2164715,0.3229593,0.9734337,0.2004462,0.5005339,0.9700566,0.1615464,0.4677864,0.6933443,0.1275672,0.5026236,0.6891185,0.1295664,0.3684545,0.8977735,0.1979966,0.156282
3417,3.603132,-30.45429,5827.186,1174.729,1,1,0,0,0,9,7.912174,8.469369,0.2853442,2.174968,7.940787,8.183904,8.351518,,1.336929,1.328432,1.348624,0.4365222,0.0608,0.32,0.07598427,0.2218623,0.2334404,0.9849373,0.216055,0.3242056,1.193199,0.1999572,0.5029851,1.031642,0.1621495,0.4643133,0.9399231,0.1302463,0.4821594,0.7608802,0.1313901,0.3582973,1.145022,0.2040764,0.1471088
3428,3.615491,-30.45419,4868.369,1183.268,1,1,0,0,0,9,7.79296,5.493468,0.6265602,2.453755,7.348904,8.119078,9.978523,,1.32603,1.321146,1.339894,0.09822171,0.0128,0.32,-0.2580037,0.2264077,0.2268188,0.5468526,0.2017476,0.3762276,0.4491502,0.1806705,0.6234093,0.1933403,0.1434988,0.5998795,0.2584209,0.1213295,0.5622203,0.3918018,0.1200997,0.4339138,0.5190913,0.191164,0.1696407
